id;tema;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;alternativa_f;alternativa_g;alternativa_h;alternativa_i;alternativa_j;correta;explicacao;dificuldade;tags;imagem1;imagem2
REUM-001;Reumatologia;Mulher de 25 anos com quadro de poliartrite simétrica de metacarpofalangeanas, interfalangeanas proximais, punhos, cotovelos, joelhos e tornozelos há 4 anos, realizando tratamento apenas com anti-inflamatórios não hormonais e analgésicos. Exames laboratoriais: fator reumatoide de 550 (VR<20), VHS de 75 mm (VR<15), PCR de 10.4 mg/dL (VR<0.5) e marcador genético característico. Em relação às alterações radiográficas nas mãos deste paciente, além da osteopenia periarticular e marcador genético você esperaria:;Erosões ósseas – HLA-DR8;Diminuição assimétrica do espaço articular – HLA-DR4;Osteófitos marginais – HLA-DR2;Erosões ósseas – HLA-DRB1;Lesões em saca-bocado – HLA-DR8;;;;;;D;"AR típica: erosões marginais e estreitamento articular; associação genética clássica com HLA-DRB1 (shared epitope).";2;AR,erosões,HLA-DRB1,poliartrite;;
REUM-002;Reumatologia;Mulher de 30 anos apresenta quadro de artrite de punhos e cotovelos, associado à rash em região malar que piora com a exposição solar, edema de membros inferiores +++/++++ até joelhos. Tem antecedente pessoal de derrame pleural bilateral, derrame pericárdico, anemia hemolítica e plaquetopenia. Exames laboratoriais mostram urina I com hematúria e proteinúria, ureia e creatinina levemente aumentados. No exame físico e laboratorial desta paciente você esperaria inevitavelmente:;Hipertensão arterial sistêmica – anti-Ds DNA;"Ausculta pulmonar alterada – anti-Ds DNA; proteinúria de > 500 mg/24hs";Empastamento doloroso de panturrilhas – anti-SM;"Ausculta pulmonar alterada – anti-Ds DNA; proteinúria de ≤ 500 mg/24hs";Crepitações bibasais – anti-Ro/SSA;;;;;;B;"Quadro compatível com LES com serosite e nefrite lúpica: anti-dsDNA e proteinúria significativa (>500 mg/24h) são esperados; ausculta pode estar alterada pelo derrame pleural prévio.";3;LES,anti-dsDNA,proteinúria,serosite,nefrite;;
REUM-003;Reumatologia;A mesma paciente da questão acima apresenta-se uma irmã com esclerodermia difusa generalizada, qual seria o anticorpo característico?;Anti-DNA nativo ou dupla hélice;Anti-Sm;Anti-topoisomerase;Anti-centrômero;Anti-RNP;;;;;;C;Na esclerodermia difusa (forma cutânea difusa), o anticorpo característico é o anti-topoisomerase I (Scl-70).;2;Esclerodermia,anti-Scl70,anti-topoisomerase;;
REUM-004;Reumatologia;Mulher de 40 anos apresenta quadro de dor difusa e ritmo incaracterístico em braços, pernas e em toda a coluna, há aproximadamente 8 anos, associado a distúrbio do sono (dorme mal e acorda cansada) além de fadiga diária (que a atrapalha de realizar atividade física), dispareunia, dor abdominal recorrente, tendo realizado vários exames e passado em mais de 10 médicos, sempre com exames normais. É ansiosa, tem depressão, inclusive com tratamento regular com psiquiatra. A melhor conduta neste caso é:;Orientar realização de atividade física regularmente (5x/semana);Orientar repouso absoluto por 15 dias e então iniciar atividade física (3x/semana);Orientar repouso relativo inclusive com afastamento das atividades laborais por 30 dias;Tratamento com terapias alternativas como acupuntura e quiropraxia;Otimizar analgesia com opioide fraco e caso não melhore otimizar para opioide forte;;;;;;A;"Fibromialgia: eixo terapêutico é exercício aeróbico regular + higiene do sono e abordagem psicossocial; evitar opióides.";2;Fibromialgia,exercício,higiene do sono;;
REUM-005;Reumatologia;Homem de 31 anos, com quadro de lombalgia ao repouso há 7 meses, rigidez por mais de 1 hora, com melhora com AINE. O diagnóstico mais provável é:;Artrite Reumatóide;Espondiloartrite;Lúpus Eritematoso Sistêmico;Gota;Osteoartrite;;;;;;B;Lombalgia inflamatória típica (início <45a, melhora com exercício/AINE, rigidez matinal prolongada) sugere espondiloartrite.;1;Espondiloartrite,lombalgia inflamatória,AINE;;
REUM-006;Reumatologia;"Mulher de 50 anos com dor nos joelhos ao deambular e ao subir degraus, melhor ao repouso; ao exame, genu valgum, crepitação seca. Qual alteração radiográfica você esperaria?";Diminuição assimétrica do espaço articular;Diminuição simétrica do espaço articular;Osteopenia periarticular;Erosões ósseas;Espaço articular normal;;;;;;A;Osteoartrose: estreitamento assimétrico do espaço articular, esclerose subcondral e osteófitos marginais.;1;Osteoartrose,joelho,raio-x;;
REUM-007;Reumatologia;"Mulher de 25 anos com dor articular inflamatória em metacarpofalangeanas, punhos e cotovelos, além de áreas de hiperemia cutânea nas regiões fotoexpostas há 2 meses, veio ao pronto-socorro por dor em hemitórax direito ventilatório-dependente e falta de ar. Exame físico: edema assimétrico de panturrilhas com congestão venosa à esquerda; ausculta pulmonar normal; SpO2 em ar ambiente 89%. Exames: FAN positivo, anti-DNA positivo, anti-Sm positivo, leucopenia e linfopenia. TC de tórax (protocolo TEP) mostrou falha de enchimento em ramo segmentar da artéria pulmonar direita. Então o principal diagnóstico:";Artrite Reumatoide com trombofilia.;Doença mista do tecido conjuntivo e distúrbio da coagulação.;Doença de Sjögren com trombofilia.;Lúpus com síndrome antifosfolípide.;Esclerodermia e distúrbio da coagulação.;;;;;;D;TEP associado a LES e sorologias típicas sugere SAF associada (trombose arterial/venosa recorrente).;2;LES,SAF,TEP,anti-Sm,anti-dsDNA;;
REUM-008;Reumatologia;"Homem de 33 anos, episódios de monoartrite aguda intermitente em membros inferiores há 6 anos, com duração de 1 semana e resolução completa; etilista (4 garrafas de cerveja/dia), hipertenso em uso de hidroclorotiazida 25 mg cedo e losartana 50 mg 12/12h; em tratamento de linfoma; dieta rica em embutidos e miúdos. Qual condição NÃO contribui para agravar a doença articular?";Etilismo de 4 garrafas de cerveja por dia;Hidroclorotiazida;Losartana;Gamopatia/hematopatia;Alimentação com embutidos e miúdos;;;;;;C;"Losartana é uricosúrica e costuma reduzir uricemia; as demais condições tendem a elevar ácido úrico ou precipitar crises.";2;Gota,losartana,diurético,tálamo,álcool,purinas;;
REUM-009;Reumatologia;IMC < 19 Kg/m?, uso de corticoide por mais d e 3 meses:;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;C;Baixo IMC e uso crônico de corticosteroide são fatores de risco para osteoporose/fraturas.;1;osteoporose,corticoide,baixo IMC;;
REUM-010;Reumatologia;Gota;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;E;Cristais de urato monossódico: agulha, birrefringência negativa na luz polarizada.;1;gota,cristais,urato;;
REUM-011;Reumatologia;Corpúsculo de Inclusão;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;F;Miopatia por corpúsculos de inclusão com fraqueza, frequentemente distal (flexores de dedos/quadríceps).;1;miopatia,corpúsculos de inclusão;;
REUM-012;Reumatologia;Uveíte;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;G;Uveíte posterior pode cursar com percepções de ‘moscas volantes’ (floaters).;1;uveíte,moscas volantes;;
REUM-013;Reumatologia;Dermopolimiosite;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;A;"DM: infiltrado perivascular/perimisial rico em CD4+, ativação do complemento; difere de PM/IBM (CD8+).";1;dermatomiosite,CD4;;
REUM-014;Reumatologia;Esclerodactilia;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;B;Esclerodactilia na SSc limitada (CREST) se associa a anti-centrômero.;1;esclerodermia limitada,CREST;;
REUM-015;Reumatologia;Febre, linfonodomegalia;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;D;Red flags para investigar infecção/neoplasia antes de imunossupressão.;1;red flags,febre,linfonodos;;
REUM-016;Reumatologia;Artrite Psoriásica;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;I;Axial psoriásica: sacroiliíte assimétrica e sindesmófitos volumosos ‘em chama’.;1;artrite psoriásica,sacroiliíte;;
REUM-017;Reumatologia;Anti-sintetase;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;J;Síndrome anti-sintetase (ex. anti-Jo-1): mão de mecânico + pneumopatia intersticial.;1;anti-sintetase,Jo-1;;
REUM-018;Reumatologia;Mais de 3 meses, menor de 45 anos, resposta a anti-inflamatório não hormonal;CD4+ imuno-histoquímica;Anti-centrômero;Osteoporose;Red Flags;Microscopia com birrefringência negativa;Perda de força muscular distal ou proximal;Mosca volantes;Lombalgia inflamatória;Sacroliíte assimétrica e sindesmófitos em chama;Mão de mecânico e fibrose pulmonar;H;Critérios de dor lombar inflamatória na espondiloartrite.;1;lombalgia inflamatória,espondiloartrite;;
REUM-019;Reumatologia;As duas imagens abaixo mostram, respectivamente, Figura 1 (mãos) e Figura 2 (pé). Assinale a associação diagnóstico-exame correta para cada figura.;"Figura 1: Artrite reumatoide — Rx + anti-CCP + FR; Figura 2: Gota — birrefringência negativa + ácido úrico.";"Figura 1: Gota — birrefringência negativa + ácido úrico; Figura 2: Artrite reumatoide — Rx + anti-CCP + FR.";"Figura 1: Artrite reumatoide — ANA + anti-dsDNA; Figura 2: Gota — Gram com bactérias + hemoculturas.";"Figura 1: Artrite psoriásica — HLA-B27 + sindesmófitos 'em chama'; Figura 2: Osteoartrose — Rx com osteófitos difusos.";"Figura 1: Gota — cristais com birrefringência positiva; Figura 2: Artrite reumatoide — anti-CCP negativo e FR negativo.";;;;;;A;Fig.1 com padrão de AR (deformidades/ulnarização): investigar com Rx, anti-CCP e FR. Fig.2 com podagra (gota): cristais de urato com birrefringência negativa na polarização e AU elevado.;2;AR,gota,anti-CCP,FR,birrefringência negativa,imagens;images/ar.png;images/podagra.jpg